150
600
0	137
0	87
0	109
0	131
1	37
1	83
1	136
1	131
2	23
2	100
2	94
2	3
3	83
3	101
3	102
3	57
4	0
4	111
4	90
4	50
5	67
5	63
5	100
5	148
6	44
6	123
6	131
6	137
7	8
7	109
7	106
7	105
8	3
8	112
8	149
8	2
9	93
9	71
9	63
9	36
10	4
10	104
10	56
10	80
11	36
11	141
11	149
11	120
12	43
12	71
12	41
12	10
13	29
13	9
13	117
13	113
14	1
14	68
14	116
14	142
15	70
15	112
15	34
15	49
16	117
16	49
16	8
16	103
17	122
17	51
17	75
17	60
18	127
18	62
18	126
18	73
19	115
19	13
19	124
19	9
20	40
20	2
20	143
20	29
21	43
21	120
21	141
21	1
22	129
22	89
22	139
22	93
23	69
23	143
23	34
23	33
24	86
24	66
24	71
24	55
25	97
25	9
25	115
25	68
26	40
26	50
26	94
26	108
27	128
27	82
27	108
27	135
28	134
28	56
28	66
28	18
29	128
29	108
29	58
29	52
30	135
30	65
30	132
30	143
31	53
31	41
31	88
31	71
32	95
32	44
32	73
32	6
33	127
33	70
33	94
33	1
34	66
34	98
34	133
34	136
35	93
35	52
35	59
35	145
36	62
36	117
36	6
36	65
37	72
37	50
37	46
37	96
38	90
38	27
38	127
38	140
39	32
39	136
39	109
39	56
40	75
40	68
40	134
40	105
41	24
41	116
41	36
41	101
42	16
42	60
42	95
42	93
43	75
43	1
43	7
43	27
44	22
44	15
44	127
44	5
45	92
45	105
45	51
45	8
46	17
46	117
46	93
46	56
47	47
47	5
47	75
47	31
48	126
48	61
48	96
48	40
49	69
49	59
49	123
49	108
50	7
50	0
50	46
50	13
51	43
51	107
51	47
51	26
52	51
52	21
52	39
52	22
53	43
53	91
53	33
53	146
54	80
54	125
54	64
54	101
55	118
55	5
55	59
55	147
56	126
56	59
56	135
56	9
57	94
57	149
57	117
57	139
58	56
58	136
58	79
58	108
59	116
59	120
59	127
59	3
60	146
60	102
60	105
60	40
61	97
61	29
61	83
61	18
62	68
62	126
62	54
62	63
63	53
63	77
63	112
63	37
64	102
64	30
64	147
64	100
65	33
65	69
65	26
65	42
66	6
66	112
66	138
66	72
67	114
67	142
67	59
67	20
68	90
68	67
68	20
68	109
69	130
69	81
69	76
69	138
70	22
70	109
70	103
70	74
71	49
71	53
71	21
71	134
72	85
72	76
72	15
72	123
73	8
73	11
73	6
73	120
74	43
74	137
74	45
74	63
75	134
75	62
75	113
75	83
76	54
76	17
76	65
76	55
77	5
77	19
77	137
77	131
78	48
78	146
78	132
78	79
79	124
79	44
79	130
79	59
80	108
80	77
80	136
80	46
81	107
81	145
81	146
81	7
82	141
82	23
82	130
82	22
83	42
83	121
83	17
83	134
84	149
84	148
84	19
84	146
85	46
85	123
85	42
85	88
86	42
86	104
86	38
86	119
87	27
87	78
87	56
87	95
88	64
88	126
88	40
88	61
89	134
89	38
89	39
89	20
90	41
90	50
90	48
90	64
91	74
91	23
91	75
91	141
92	147
92	79
92	143
92	72
93	44
93	81
93	78
93	53
94	133
94	120
94	72
94	35
95	67
95	122
95	149
95	98
96	9
96	78
96	22
96	134
97	99
97	115
97	24
97	47
98	0
98	115
98	85
98	13
99	142
99	56
99	38
99	101
100	115
100	49
100	146
100	66
101	132
101	92
101	136
101	2
102	48
102	126
102	10
102	23
103	63
103	71
103	23
103	129
104	20
104	130
104	127
104	66
105	125
105	69
105	43
105	142
106	58
106	78
106	116
106	40
107	139
107	73
107	108
107	140
108	91
108	66
108	7
108	31
109	60
109	109
109	8
109	87
110	101
110	2
110	128
110	57
111	139
111	5
111	64
111	85
112	147
112	143
112	89
112	16
113	59
113	115
113	140
113	144
114	27
114	118
114	0
114	116
115	30
115	15
115	134
115	92
116	52
116	129
116	72
116	3
117	84
117	56
117	8
117	134
118	52
118	68
118	49
118	8
119	78
119	128
119	98
119	36
120	143
120	37
120	99
120	81
121	10
121	45
121	26
121	42
122	34
122	118
122	13
122	78
123	117
123	107
123	70
123	53
124	119
124	67
124	71
124	83
125	89
125	22
125	79
125	120
126	147
126	76
126	91
126	71
127	11
127	40
127	98
127	15
128	90
128	76
128	10
128	66
129	14
129	83
129	144
129	130
130	108
130	18
130	109
130	102
131	35
131	135
131	14
131	53
132	84
132	108
132	115
132	26
133	38
133	0
133	110
133	59
134	90
134	16
134	113
134	47
135	99
135	137
135	98
135	28
136	60
136	46
136	48
136	3
137	80
137	134
137	13
137	143
138	10
138	29
138	149
138	64
139	149
139	118
139	131
139	69
140	42
140	84
140	30
140	101
141	144
141	7
141	40
141	123
142	106
142	131
142	125
142	79
143	83
143	29
143	148
143	88
144	13
144	42
144	131
144	46
145	61
145	85
145	111
145	99
146	119
146	17
146	101
146	1
147	81
147	91
147	66
147	74
148	52
148	10
148	48
148	148
149	32
149	1
149	94
149	56
